# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.003        0.000       39.930     4162.000
       2.006        0.000       39.930     4162.000
       4.008      108.300       88.035     4877.043
       6.011      231.200      124.656     5138.074
       8.014      190.300      144.879     5138.074
      10.023      140.900      134.793     5138.074
      12.027       99.300      134.984     5138.074
      14.030       53.900      127.605     5138.074
      16.038       90.700      127.844     5138.074
      18.062       72.100      127.969     5138.074
      20.068      106.200      128.086     5138.074
      22.071      113.300      128.156     5138.074
      24.084       83.500      128.156     5138.074
      26.087       10.500      128.156     5138.074
      28.091        0.500      128.156     5138.074
      30.095        0.000      128.156     5138.074
      32.100        0.500      128.156     5138.074
      34.104        0.000      128.156     5138.074
      36.108        0.500      128.156     5138.074
      38.112        0.500      128.156     5138.074
