task_id,execution_time
append__1,0.904
append__2,0.898
append__3,0.893
append__4,0.887
append__5,0.881
append__6,1.219
append__7,0.855
append__8,0.839
append__9,0.811
append__10,0.79
append__11,0.85
append__12,0.751
append__13,0.754
append__14,0.995
append__15,0.906
append__16,0.634
append__17,0.61
append__18,0.593
append__19,0.578
append__20,0.57
append__21,0.874
append__22,0.879
append__23,0.836
append__24,0.484
append__25,0.819
append__26,0.799
append__27,0.793
append__28,0.458
append__29,0.732
append__30,0.41
append__31,0.281
append__32,0.264
append__33,0.677
append__34,0.627
append__35,0.308
append__36,0.228
append__37,0.583
append__38,0.569
append__39,0.585
append__40,0.304
append__41,0.301
append__42,0.298
