# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.003        0.000       39.305     4162.000
       2.006       33.000       53.473     4877.043
       4.007      101.400       76.906     5155.141
       6.013       76.200       98.324     5164.176
       8.016       63.900      122.895     5179.234
      10.030       35.300      121.895     5164.176
      12.033       35.900      121.895     5164.176
      14.036       24.000      121.895     5164.176
      16.042       37.900      122.152     5164.176
      18.045       38.900      124.152     5164.176
      20.050       32.400      124.152     5164.176
      22.053       39.400      124.160     5164.176
      24.058        0.000      124.160     5164.176
      26.061        1.000      124.160     5164.176
      28.065        0.000      124.160     5164.176
      30.068        0.000      124.160     5164.176
      32.072        0.000      124.160     5164.176
      34.077        0.500      124.160     5164.176
      36.081        0.500      124.160     5164.176
      38.085        0.000      124.160     5164.176
