# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.004        0.000       38.270     4162.000
       2.007       22.000       47.406     4487.020
       4.014      211.800      109.414     5137.070
       6.030      226.600      143.434     5143.094
       8.035      124.700      137.891     5146.105
      10.040      133.200      138.148     5146.105
      12.050      123.300      138.535     5151.125
      14.053      128.800      159.492     5151.125
      16.056      141.300      169.098     5151.125
      18.060      103.800      166.602     5151.125
      20.069       83.100      168.664     5151.125
      22.082       93.400      168.715     5151.125
      24.085      129.800      168.781     5151.125
      26.088      111.800      168.781     5151.125
      28.095       36.400      162.281     5151.125
