task_id,execution_time
download__1,2.454
download__2,2.448
download__3,2.444
download__4,2.438
download__5,2.434
download__6,2.426
download__7,2.418
download__8,2.409
download__9,2.401
download__10,2.38
download__11,2.368
download__12,2.347
download__13,2.335
download__14,2.326
download__15,2.308
download__16,2.295
download__17,2.277
download__18,2.243
download__19,2.233
download__20,2.221
download__21,2.212
download__22,2.179
download__23,2.15
download__24,2.1
download__25,2.065
download__26,2.019
download__27,2
download__28,1.974
download__29,1.956
download__30,1.915
download__31,1.867
download__32,1.837
download__33,1.805
download__34,1.758
download__35,1.71
download__36,1.686
download__37,1.654
download__38,1.62
download__39,1.607
download__40,1.555
download__41,1.526
download__42,1.474
download__43,1.425
download__44,1.399
download__45,1.356
download__46,1.313
download__47,1.295
download__48,1.268
download__49,1.234
download__50,1.217
download__51,1.198
download__52,1.176
download__53,1.156
download__54,1.135
download__55,1.101
download__56,1.073
download__57,1.042
download__58,1.009
download__59,0.989
download__60,0.981
download__61,0.958
download__62,0.913
download__63,0.89
download__64,0.869
download__65,0.844
download__66,0.824
download__67,0.802
download__68,0.783
download__69,0.774
download__70,0.757
download__71,0.727
download__72,0.716
download__73,0.709
download__74,0.675
download__75,0.634
download__76,0.663
download__77,0.642
download__78,0.653
download__79,0.574
download__80,0.578
download__81,0.608
download__82,0.478
download__83,0.554
download__84,0.512
download__85,0.558
download__86,0.505
download__87,0.506
download__88,0.531
download__89,0.493
download__90,0.489
download__91,0.478
download__92,0.477
download__93,0.447
download__94,0.47
download__95,0.459
download__96,0.425
download__97,0.416
download__98,0.357
download__99,0.385
download__100,0.366
