# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.003        0.000       38.008     4162.000
       2.004        0.000       38.008     4162.000
       4.007      147.800       72.918     5142.090
       6.038       57.100       99.746     5151.125
       8.063       64.700      119.324     5154.137
      10.078       74.900      122.395     5163.172
      12.084       19.900      122.395     5163.172
      14.093       42.300      119.848     5163.172
      16.102       43.300      121.656     5163.172
      18.105       31.000      121.660     5163.172
      20.112       52.300      121.660     5163.172
      22.116       43.900      121.672     5163.172
      24.119       34.400      121.672     5163.172
      26.124        0.500      121.672     5163.172
      28.128        0.000      121.672     5163.172
