# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.003        0.000       39.285     4162.000
       1.005        0.000       39.285     4162.000
       2.008       28.900       47.199     4162.000
       3.010      195.600       71.656     5072.066
       4.013      226.200       88.289     5140.082
       5.018      212.600      111.141     5140.082
       6.024      172.400      136.492     5140.082
       7.027      212.300      137.254     5140.082
       8.035      218.300      141.715     5142.266
       9.045      133.600      140.773     5140.082
      10.048       56.900      140.773     5140.082
      11.050       76.800      140.773     5140.082
      12.053       90.700      140.773     5140.082
      13.062      100.100      130.102     5140.082
      14.064       69.800      130.164     5140.082
      15.066      100.800      130.164     5140.082
      16.068      115.800      130.164     5140.082
      17.070       99.800      130.230     5140.082
      18.072      100.800      130.230     5140.082
      19.079      136.000      130.230     5140.082
      20.082       32.900      130.230     5140.082
      21.085        0.000      130.230     5140.082
      22.088        1.000      130.230     5140.082
      23.090        0.000      130.230     5140.082
      24.093        1.000      130.230     5140.082
      25.096        0.000      130.230     5140.082
      26.100        0.000      130.230     5140.082
      27.103        0.000      130.230     5140.082
      28.106        0.000      130.230     5140.082
      29.109        0.000      130.230     5140.082
