task_id,execution_time
list__1,1.009
list__2,1.003
list__3,0.998
list__4,0.992
list__5,0.987
list__6,0.982
list__7,0.973
list__8,0.959
list__9,0.937
list__10,0.928
list__11,0.915
list__12,0.901
list__13,0.875
list__14,0.863
list__15,0.849
list__16,0.84
list__17,0.825
list__18,0.818
list__19,0.808
list__20,0.789
list__21,0.778
list__22,0.767
list__23,0.751
list__24,0.741
list__25,0.719
list__26,0.702
list__27,0.677
list__28,0.663
list__29,0.652
list__30,0.639
list__31,0.621
list__32,0.611
list__33,0.594
list__34,0.57
list__35,0.557
list__36,0.543
list__37,0.511
list__38,0.501
list__39,0.482
list__40,0.451
list__41,0.435
list__42,0.421
list__43,0.413
list__44,0.385
list__45,0.368
list__46,0.358
list__47,0.341
list__48,0.327
list__49,0.31
list__50,0.301
list__51,0.282
list__52,0.271
list__53,0.257
list__54,0.23
list__55,0.238
list__56,0.195
list__57,0.206
list__58,0.225
list__59,0.251
list__60,0.228
list__61,0.207
list__62,0.202
list__63,0.232
list__64,0.174
