task_id,execution_time
list__1,0.605
list__2,0.599
list__3,0.594
list__4,0.589
list__5,0.585
list__6,0.575
list__7,0.567
list__8,0.557
list__9,0.548
list__10,0.531
list__11,0.504
list__12,0.483
list__13,0.477
list__14,0.471
list__15,0.46
list__16,0.455
list__17,0.442
list__18,0.429
list__19,0.425
list__20,0.42
list__21,0.412
list__22,0.396
list__23,0.384
list__24,0.372
list__25,0.356
list__26,0.349
list__27,0.337
list__28,0.329
list__29,0.32
list__30,0.312
list__31,0.304
list__32,0.287
list__33,0.275
list__34,0.268
list__35,0.258
list__36,0.249
list__37,0.241
list__38,0.232
list__39,0.22
list__40,0.206
list__41,0.198
list__42,0.191
list__43,0.18
list__44,0.159
list__45,0.151
list__46,0.145
list__47,0.128
list__48,0.113
list__49,0.103
list__50,0.097
list__51,0.093
list__52,0.086
list__53,0.064
list__54,0.069
