# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.003        0.000       39.535     4162.000
       5.005       62.400       74.824     5198.309
      10.015       39.700       88.020     5217.383
      15.030       18.300       91.941     5183.250
      20.035       38.800      132.656     5275.609
      25.041       45.300      149.738     5275.609
      30.045       21.600      146.789     5228.426
      35.051       16.400      146.297     5164.176
      40.055       18.400      146.297     5164.176
      45.059       25.400      146.297     5164.176
      50.065       22.000      146.527     5164.176
      55.071       20.600      146.734     5164.176
      60.075       41.000      147.332     5164.176
      65.081       41.300      147.332     5164.176
      70.085       32.200      147.336     5164.176
      75.091       41.800      148.098     5167.188
      80.095       46.600      148.316     5179.234
      85.101       42.300      148.551     5179.234
      90.105       53.000      148.676     5189.273
      95.111       32.600      148.527     5176.223
     100.115       36.200      148.516     5170.199
     105.121        2.400      148.422     5164.176
     110.128        0.400      148.422     5164.176
     115.135        0.200      148.422     5164.176
